Domain,Type,Sponsoring Organisation,Date
.fashion,generic,Top Level Domain Holdings Limited,2024-07-02
.feedback,generic,"Top Level Spectrum, Inc.",2024-07-02
.film,generic,Motion Picture Domain Registry Pty Ltd,2024-07-02
.finance,generic,"Cotton Cypress, LLC",2024-07-02
.financial,generic,"Just Cover, LLC",2024-07-02
.firmdale,generic,Firmdale Holdings Limited,2024-07-02
.fish,generic,"Fox Woods, LLC",2024-07-02
.fishing,generic,Top Level Domain Holdings Limited,2024-07-02
.fit,generic,Minds + Machines Group Limited,2024-07-02
.fitness,generic,"Brice Orchard, LLC",2024-07-02
.flights,generic,"Fox Station, LLC",2024-07-02
.florist,generic,"Half Cypress, LLC",2024-07-02
.flowers,generic,"Uniregistry, Corp.",2024-07-02
.flsmidth,generic,FLSmidth A/S,2024-07-02
.fly,generic,Charleston Road Registry Inc.,2024-07-02
.foo,generic,Charleston Road Registry Inc.,2024-07-02
.football,generic,"Foggy Farms, LLC",2024-07-02
.forex,generic,DOTFOREX REGISTRY LTD,2024-07-02
.forsale,generic,"United TLD Holdco, LLC",2024-07-02
.foundation,generic,"John Dale, LLC",2024-07-02
.frl,generic,FRLregistry B.V.,2024-07-02
.frogans,generic,OP3FT,2024-07-02
.fund,generic,"John Castle, LLC",2024-07-02
.furniture,generic,"Lone Fields, LLC",2024-07-02
.futbol,generic,"United TLD Holdco, Ltd.",2024-07-02
.gal,generic,Asociación puntoGAL,2024-07-02
.gallery,generic,"Sugar House, LLC",2024-07-02
.garden,generic,Top Level Domain Holdings Limited,2024-07-02
.gbiz,generic,Charleston Road Registry Inc.,2024-07-02
.gdn,generic,"Joint Stock Company ""Navigation-information systems""",2024-07-02
.gent,generic,COMBELL GROUP NV/SA,2024-07-02
.ggee,generic,"GMO Internet, Inc.",2024-07-02
.gift,generic,"Uniregistry, Corp.",2024-07-02
.gifts,generic,"Goose Sky, LLC",2024-07-02
.gives,generic,United TLD Holdco Ltd.,2024-07-02
.glass,generic,"Black Cover, LLC",2024-07-02
.gle,generic,Charleston Road Registry Inc.,2024-07-02
.global,generic,Dot Global Domain Registry Limited,2024-07-02
.globo,generic,Globo Comunicação e Participações S.A,2024-07-02
.gmail,generic,Charleston Road Registry Inc.,2024-07-02
.gmo,generic,"GMO Internet, Inc.",2024-07-02
.gmx,generic,1&1 Mail & Media GmbH,2024-07-02
.gold,generic,"June Edge, LLC",2024-07-02
.goldpoint,generic,"YODOBASHI CAMERA CO.,LTD.",2024-07-02
.golf,generic,"Lone Falls, LLC",2024-07-02
.goo,generic,NTT Resonant Inc.,2024-07-02
.goog,generic,Charleston Road Registry Inc.,2024-07-02
.google,generic,Charleston Road Registry Inc.,2024-07-02
.gop,generic,"Republican State Leadership Committee, Inc.",2024-07-02
.graphics,generic,"Over Madison, LLC",2024-07-02
.gratis,generic,"Pioneer Tigers, LLC",2024-07-02
.green,generic,Afilias Limited,2024-07-02
.gripe,generic,"Corn Sunset, LLC",2024-07-02
.guge,generic,Charleston Road Registry Inc.,2024-07-02
.guide,generic,"Snow Moon, LLC",2024-07-02
.guitars,generic,"Uniregistry, Corp.",2024-07-02
.guru,generic,"Pioneer Cypress, LLC",2024-07-02
.hamburg,generic,Hamburg Top-Level-Domain GmbH,2024-07-02
.hangout,generic,Charleston Road Registry Inc.,2024-07-02
.haus,generic,"United TLD Holdco, LTD.",2024-07-02
.healthcare,generic,"Silver Glen, LLC",2024-07-02
.help,generic,"Uniregistry, Corp.",2024-07-02
.here,generic,Charleston Road Registry Inc.,2024-07-02
.hermes,generic,Hermes International,2024-07-02
.hiphop,generic,"Uniregistry, Corp.",2024-07-02
.hiv,generic,dotHIV gemeinnuetziger e.V.,2024-07-02
.holdings,generic,"John Madison, LLC",2024-07-02
.holiday,generic,"Goose Woods, LLC",2024-07-02
.homes,generic,"DERHomes, LLC",2024-07-02
.horse,generic,Top Level Domain Holdings Limited,2024-07-02
.host,generic,DotHost Inc.,2024-07-02
.hosting,generic,"Uniregistry, Corp.",2024-07-02
.house,generic,"Sugar Park, LLC",2024-07-02
.how,generic,Charleston Road Registry Inc.,2024-07-02
.ibm,generic,International Business Machines Corporation,2024-07-02
.ifm,generic,ifm electronic gmbh,2024-07-02
.immo,generic,"Auburn Bloom, LLC",2024-07-02
.immobilien,generic,United TLD Holdco Ltd.,2024-07-02
.industries,generic,"Outer House, LLC",2024-07-02
.infiniti,generic,"NISSAN MOTOR CO., LTD.",2024-07-02
.info,generic,Afilias Limited,2024-07-02
.ing,generic,Charleston Road Registry Inc.,2024-07-02
.ink,generic,"Top Level Design, LLC",2024-07-02
.institute,generic,"Outer Maple, LLC",2024-07-02
.insure,generic,"Pioneer Willow, LLC",2024-07-02
.international,generic,"Wild Way, LLC",2024-07-02
.investments,generic,"Holly Glen, LLC",2024-07-02
.irish,generic,Dot-Irish LLC,2024-07-02
.iwc,generic,Richemont DNS Inc.,2024-07-02
.java,generic,Oracle Corporation,2024-07-02
.jcb,generic,"JCB Co., Ltd.",2024-07-02
.jetzt,generic,New TLD Company AB,2024-07-02
.joburg,generic,ZA Central Registry NPC trading as ZA Central Registry,2024-07-02
.juegos,generic,"Uniregistry, Corp.",2024-07-02
.kaufen,generic,United TLD Holdco Ltd.,2024-07-02
.kddi,generic,KDDI CORPORATION,2024-07-02
.kim,generic,Afilias Limited,2024-07-02
.kitchen,generic,"Just Goodbye, LLC",2024-07-02
.kiwi,generic,DOT KIWI LIMITED,2024-07-02
.koeln,generic,NetCologne Gesellschaft für Telekommunikation mbH,2024-07-02
.komatsu,generic,Komatsu Ltd.,2024-07-02
.krd,generic,KRG Department of Information Technology,2024-07-02
.kred,generic,KredTLD Pty Ltd,2024-07-02
.kyoto,generic,Academic Institution: Kyoto Jyoho Gakuen,2024-07-02
.lacaixa,generic,CAIXA D'ESTALVIS I PENSIONS DE BARCELONA,2024-07-02
.land,generic,"Pine Moon, LLC",2024-07-02
.lat,generic,ECOM-LAC Federación de Latinoamérica y el Caribe para Internet y el Comercio Electrónico,2024-07-02
.latrobe,generic,La Trobe University,2024-07-02
.lawyer,generic,"United TLD Holdco, Ltd",2024-07-02
.lds,generic,"IRI Domain Management, LLC",2024-07-02
.lease,generic,"Victor Trail, LLC",2024-07-02
.leclerc,generic,A.C.D. LEC Association des Centres Distributeurs Edouard Leclerc,2024-07-02
.legal,generic,"Blue Falls, LLC",2024-07-02
.lgbt,generic,Afilias Limited,2024-07-02
.lidl,generic,Schwarz Domains und Services GmbH & Co. KG,2024-07-02
.life,generic,"Trixy Oaks, LLC",2024-07-02
.lighting,generic,"John McCook, LLC",2024-07-02
.limited,generic,"Big Fest, LLC",2024-07-02
.limo,generic,"Hidden Frostbite, LLC",2024-07-02
.link,generic,"Uniregistry, Corp.",2024-07-02
.loan,generic,dot Loan Limited,2024-07-02
.loans,generic,"June Woods, LLC",2024-07-02
.london,generic,Dot London Domains Limited,2024-07-02
.lotte,generic,"Lotte Holdings Co., Ltd.",2024-07-02
.lotto,generic,Afilias Limited,2024-07-02
.love,generic,Merchant Law Group LLP,2024-07-02
.ltda,generic,InterNetX Corp.,2024-07-02
.luxe,generic,Top Level Domain Holdings Limited,2024-07-02
.luxury,generic,Luxury Partners LLC,2024-07-02
.madrid,generic,Comunidad de Madrid,2024-07-02
.maif,generic,Mutuelle Assurance Instituteur France (MAIF),2024-07-02
.maison,generic,"Victor Frostbite, LLC",2024-07-02
.management,generic,"John Goodbye, LLC",2024-07-02
.mango,generic,PUNTO FA S.L.,2024-07-02
.market,generic,"Unitied TLD Holdco, Ltd",2024-07-02
.marketing,generic,"Fern Pass, LLC",2024-07-02
.markets,generic,DOTMARKETS REGISTRY LTD,2024-07-02
.marriott,generic,Marriott Worldwide Corporation,2024-07-02
.media,generic,"Grand Glen, LLC",2024-07-02
.meet,generic,Afilias Limited,2024-07-02
.melbourne,generic,"The Crown in right of the State of Victoria, represented by its Department of State Development, Business and Innovation",2024-07-02
.meme,generic,Charleston Road Registry Inc.,2024-07-02
.memorial,generic,"Dog Beach, LLC",2024-07-02
.menu,generic,"Wedding TLD2, LLC",2024-07-02
.miami,generic,Top Level Domain Holdings Limited,2024-07-02
.mini,generic,Bayerische Motoren Werke Aktiengesellschaft,2024-07-02
.mma,generic,MMA IARD,2024-07-02
.moda,generic,United TLD Holdco Ltd.,2024-07-02
.moe,generic,"Interlink Co., Ltd.",2024-07-02
.monash,generic,Monash University,2024-07-02
.money,generic,"Outer McCook, LLC",2024-07-02
.mormon,generic,"IRI Domain Management, LLC (""Applicant"")",2024-07-02
.mortgage,generic,"United TLD Holdco, Ltd",2024-07-02
.moscow,generic,Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID),2024-07-02
.motorcycles,generic,"DERMotorcycles, LLC",2024-07-02
.mov,generic,Charleston Road Registry Inc.,2024-07-02
.movie,generic,"New Frostbite, LLC",2024-07-02
.mtn,generic,MTN Dubai Limited,2024-07-02
.mtpc,generic,Mitsubishi Tanabe Pharma Corporation,2024-07-02
.nagoya,generic,"GMO Registry, Inc.",2024-07-02
.navy,generic,United TLD Holdco Ltd.,2024-07-02
.net,generic,VeriSign Global Registry Services,2024-07-02
.network,generic,"Trixy Manor, LLC",2024-07-02
.neustar,generic,"NeuStar, Inc.",2024-07-02
.new,generic,Charleston Road Registry Inc.,2024-07-02
.news,generic,United TLD Holdco Ltd.,2024-07-02
.nexus,generic,Charleston Road Registry Inc.,2024-07-02
.ngo,generic,Public Interest Registry,2024-07-02
.nhk,generic,Japan Broadcasting Corporation (NHK),2024-07-02
.nico,generic,"DWANGO Co., Ltd.",2024-07-02
.ninja,generic,United TLD Holdco Ltd.,2024-07-02
.nissan,generic,"NISSAN MOTOR CO., LTD.",2024-07-02
.nra,generic,"NRA Holdings Company, INC.",2024-07-02
.nrw,generic,Minds + Machines GmbH,2024-07-02
.ntt,generic,NIPPON TELEGRAPH AND TELEPHONE CORPORATION,2024-07-02
.nyc,generic,The City of New York by and through the New York City Department of Information Technology & Telecommunications,2024-07-02
.okinawa,generic,BusinessRalliart inc.,2024-07-02
.one,generic,One.com A/S,2024-07-02
.ong,generic,Public Interest Registry,2024-07-02
.onl,generic,"I-REGISTRY Ltd., Niederlassung Deutschland",2024-07-02
.online,generic,DotOnline Inc.,2024-07-02
.ooo,generic,INFIBEAM INCORPORATION LIMITED,2024-07-02
.org,generic,Public Interest Registry (PIR),2024-07-02
.organic,generic,Afilias Limited,2024-07-02
.osaka,generic,"Interlink Co., Ltd.",2024-07-02
.otsuka,generic,"Otsuka Holdings Co., Ltd.",2024-07-02
.ovh,generic,OVH SAS,2024-07-02
.page,generic,Charleston Road Registry Inc.,2024-07-02
.panerai,generic,Richemont DNS Inc.,2024-07-02
.paris,generic,City of Paris,2024-07-02
